epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1713.63,0.74694,0.46698,1.05987,0.91343,0.92677,0.93424,0.73947,0.67478,0.41344,1.03144,0.00139742,0.00139742,0.00139742
43,1748.26,0.76165,0.47344,1.05977,0.91389,0.9049,0.92668,0.73428,0.69218,0.42849,1.06051,0.00139085,0.00139085,0.00139085
44,1782.92,0.74077,0.47177,1.05583,0.89951,0.93434,0.93729,0.74085,0.67177,0.40896,1.01187,0.00138427,0.00138427,0.00138427
45,1817.57,0.73771,0.45726,1.04245,0.93782,0.91588,0.93952,0.74035,0.69833,0.41698,1.04006,0.0013777,0.0013777,0.0013777
46,1852.26,0.7325,0.45032,1.05485,0.9266,0.90367,0.92861,0.73132,0.66231,0.39948,1.0223,0.00137112,0.00137112,0.00137112
47,1887,0.73092,0.4498,1.04708,0.94942,0.90818,0.94122,0.74257,0.67344,0.39737,1.0253,0.00136455,0.00136455,0.00136455
48,1921.85,0.71192,0.4354,1.03407,0.94611,0.89778,0.941,0.74457,0.64555,0.3776,1.01035,0.00135797,0.00135797,0.00135797
49,1973.37,0.70988,0.42982,1.04338,0.9429,0.90411,0.93446,0.75681,0.6618,0.40638,1.02888,0.0013514,0.0013514,0.0013514
50,2008.34,0.70083,0.4247,1.04909,0.94077,0.91153,0.93766,0.74787,0.66321,0.39459,1.03369,0.00134482,0.00134482,0.00134482
51,2042.85,0.70093,0.43799,1.03231,0.92962,0.9244,0.94183,0.75448,0.65257,0.37617,1.02257,0.00133825,0.00133825,0.00133825
52,2077.63,0.7084,0.42206,1.04698,0.91548,0.93506,0.94119,0.7522,0.63548,0.37556,1.01639,0.00133167,0.00133167,0.00133167
53,2112.28,0.71181,0.4307,1.04858,0.91538,0.91878,0.94055,0.7606,0.65878,0.38587,1.02744,0.0013251,0.0013251,0.0013251
54,2146.95,0.70268,0.42555,1.04351,0.93605,0.92824,0.95658,0.7706,0.65053,0.39022,1.01968,0.00131852,0.00131852,0.00131852
55,2181.52,0.70771,0.4272,1.03866,0.92946,0.91314,0.94222,0.76256,0.63369,0.37433,1.00258,0.00131195,0.00131195,0.00131195
56,2216.12,0.70622,0.41789,1.03599,0.93647,0.89647,0.93734,0.75933,0.64799,0.37365,1.0306,0.00130537,0.00130537,0.00130537
57,2250.71,0.68638,0.42696,1.031,0.9347,0.93283,0.94181,0.77032,0.61494,0.3685,1.0037,0.0012988,0.0012988,0.0012988
58,2624.65,0.70141,0.43893,1.0368,0.93778,0.92111,0.94646,0.76549,0.63614,0.37312,0.98743,0.00129222,0.00129222,0.00129222
59,2659.45,0.68752,0.41209,1.01737,0.91724,0.91729,0.9281,0.75221,0.63299,0.39158,1.00246,0.00128565,0.00128565,0.00128565
60,2695.69,0.69226,0.42344,1.02083,0.94935,0.92848,0.94758,0.77156,0.63732,0.36124,1.0018,0.00127907,0.00127907,0.00127907
61,2730.71,0.68917,0.42699,1.02375,0.95765,0.90324,0.94205,0.76786,0.64256,0.37352,1.01319,0.0012725,0.0012725,0.0012725
62,2765.95,0.68243,0.40757,1.0357,0.92785,0.91997,0.94876,0.77483,0.62633,0.37075,1.00497,0.00126592,0.00126592,0.00126592
63,2801.66,0.67828,0.41176,1.01631,0.93997,0.92243,0.94435,0.76243,0.6244,0.38325,0.99535,0.00125935,0.00125935,0.00125935
64,2837.78,0.68218,0.41139,1.0185,0.92784,0.9248,0.93224,0.76475,0.61451,0.37452,0.99244,0.00125277,0.00125277,0.00125277
65,2874.87,0.66881,0.40783,1.0151,0.92663,0.92826,0.9524,0.77188,0.62,0.3647,0.999,0.0012462,0.0012462,0.0012462
66,2911.37,0.68567,0.4073,1.01711,0.94664,0.92202,0.95097,0.77281,0.6262,0.36508,0.98611,0.00123962,0.00123962,0.00123962
67,2947.16,0.67452,0.40579,1.02112,0.92837,0.93094,0.94348,0.76782,0.61808,0.35754,0.99484,0.00123305,0.00123305,0.00123305
68,2982.61,0.67024,0.40268,1.00999,0.93305,0.94888,0.94686,0.76846,0.61555,0.36467,0.99336,0.00122647,0.00122647,0.00122647
69,3017.84,0.67509,0.4041,1.01865,0.9338,0.94512,0.94259,0.75502,0.64321,0.36048,1.00411,0.0012199,0.0012199,0.0012199
70,3053.78,0.67539,0.39589,1.01095,0.93267,0.93353,0.94272,0.77618,0.59718,0.34151,0.97384,0.00121332,0.00121332,0.00121332
71,3089.65,0.64954,0.38798,0.99889,0.93832,0.95562,0.94538,0.76845,0.61599,0.3513,0.9708,0.00120675,0.00120675,0.00120675
72,3125.86,0.64841,0.38729,1.00276,0.93687,0.9239,0.95092,0.78442,0.60756,0.36256,0.97263,0.00120017,0.00120017,0.00120017
73,3162.01,0.64556,0.3865,1.00277,0.94075,0.93763,0.95661,0.78029,0.60307,0.35524,0.98152,0.0011936,0.0011936,0.0011936
74,3198.19,0.66176,0.3923,1.01448,0.9289,0.92898,0.94066,0.7676,0.61454,0.35792,0.97955,0.00118702,0.00118702,0.00118702
75,3234.5,0.64175,0.3865,1.0008,0.95292,0.94621,0.94781,0.79165,0.61051,0.35454,0.97778,0.00118045,0.00118045,0.00118045
76,3270.82,0.62547,0.38193,0.99632,0.96131,0.90453,0.94939,0.79152,0.59408,0.34589,0.96489,0.00117387,0.00117387,0.00117387
77,3306.8,0.65235,0.38286,0.99533,0.95485,0.92415,0.9536,0.79338,0.60356,0.35307,0.96212,0.0011673,0.0011673,0.0011673
78,3343.02,0.64788,0.39047,0.99979,0.93735,0.9311,0.953,0.79041,0.60679,0.33454,0.97792,0.00116072,0.00116072,0.00116072
79,3379.26,0.63751,0.38412,1.00529,0.92666,0.93243,0.9292,0.76689,0.58505,0.36078,0.96825,0.00115415,0.00115415,0.00115415
80,3415.77,0.63468,0.3817,0.99331,0.92905,0.94652,0.94707,0.78367,0.589,0.33466,0.96988,0.00114757,0.00114757,0.00114757
81,3451.99,0.63865,0.38568,0.99852,0.94116,0.93582,0.94592,0.77991,0.57922,0.34383,0.96186,0.001141,0.001141,0.001141
82,3488.18,0.63086,0.38362,0.9972,0.92078,0.94455,0.93721,0.76602,0.59269,0.34693,0.97226,0.00113442,0.00113442,0.00113442
83,3524.46,0.63665,0.37456,0.9978,0.93655,0.94216,0.95703,0.79158,0.59128,0.34185,0.96438,0.00112785,0.00112785,0.00112785
84,3560.87,0.63095,0.36542,0.99291,0.95784,0.93652,0.96019,0.79378,0.6047,0.3285,0.9834,0.00112127,0.00112127,0.00112127
85,3597.35,0.62472,0.37615,0.99392,0.90713,0.9448,0.9001,0.74616,0.58762,0.35875,0.9772,0.0011147,0.0011147,0.0011147
86,3632.18,0.62745,0.37275,0.99046,0.94098,0.94653,0.95129,0.78839,0.57395,0.33437,0.95581,0.00110812,0.00110812,0.00110812
87,3667.47,0.62858,0.3757,0.98948,0.93274,0.95339,0.95417,0.78922,0.5847,0.34523,0.94542,0.00110155,0.00110155,0.00110155
88,3703.6,0.62146,0.38097,0.99105,0.94051,0.93534,0.94792,0.78622,0.57695,0.33823,0.95659,0.00109497,0.00109497,0.00109497
89,3739.89,0.60785,0.36626,0.9822,0.9333,0.94467,0.95387,0.79629,0.5681,0.32775,0.94096,0.0010884,0.0010884,0.0010884
90,3776.12,0.62128,0.38286,0.99085,0.94001,0.94105,0.95261,0.78777,0.58749,0.33146,0.97176,0.00108182,0.00108182,0.00108182
91,3812.27,0.60941,0.36314,0.97863,0.95828,0.94001,0.96383,0.80212,0.57824,0.33118,0.96943,0.00107525,0.00107525,0.00107525
92,3848.5,0.60647,0.3664,0.99097,0.95143,0.95081,0.94728,0.77422,0.59302,0.34373,0.97451,0.00106867,0.00106867,0.00106867
93,3884.8,0.6141,0.36474,0.98081,0.95059,0.94495,0.95642,0.78619,0.57842,0.33776,0.95467,0.0010621,0.0010621,0.0010621
94,3920.9,0.60258,0.35756,0.97459,0.93424,0.95376,0.93174,0.77274,0.57434,0.34376,0.95832,0.00105552,0.00105552,0.00105552
95,3956.42,0.59899,0.35513,0.98527,0.95864,0.95553,0.95504,0.79747,0.57448,0.32539,0.95203,0.00104895,0.00104895,0.00104895
96,3991.68,0.60047,0.35676,0.9744,0.94105,0.93265,0.9452,0.78735,0.57324,0.3342,0.95187,0.00104237,0.00104237,0.00104237
97,4026.47,0.60429,0.35699,0.98414,0.92905,0.94297,0.95154,0.78963,0.56363,0.34178,0.95424,0.0010358,0.0010358,0.0010358
98,4062.28,0.6021,0.3559,0.98925,0.95156,0.95735,0.95524,0.80346,0.55855,0.32796,0.95778,0.00102922,0.00102922,0.00102922
99,4100.3,0.59701,0.35418,0.98392,0.9465,0.94861,0.95231,0.796,0.56145,0.31071,0.96536,0.00102265,0.00102265,0.00102265
100,4150.12,0.60196,0.34858,0.98346,0.94912,0.9467,0.96162,0.80397,0.56495,0.32764,0.96566,0.00101607,0.00101607,0.00101607
101,4198.19,0.58117,0.33333,0.96987,0.93547,0.95661,0.96311,0.81121,0.5481,0.31658,0.94607,0.0010095,0.0010095,0.0010095
102,4236.94,0.60187,0.35105,0.97978,0.9564,0.94708,0.95782,0.79718,0.56512,0.32202,0.95928,0.00100292,0.00100292,0.00100292
103,4275.03,0.58102,0.34242,0.98075,0.9359,0.96601,0.95627,0.80194,0.56329,0.30887,0.95106,0.000996348,0.000996348,0.000996348
104,4312.55,0.57522,0.33611,0.96913,0.94141,0.95257,0.95516,0.80684,0.55869,0.32029,0.94278,0.000989773,0.000989773,0.000989773
105,4349.21,0.57701,0.35227,0.9732,0.94883,0.94378,0.95068,0.80014,0.55668,0.32222,0.94381,0.000983198,0.000983198,0.000983198
106,4385.24,0.5595,0.33732,0.9626,0.94653,0.94796,0.96344,0.80676,0.55376,0.31887,0.93612,0.000976623,0.000976623,0.000976623
107,4421.51,0.58355,0.34597,0.97422,0.95674,0.9452,0.96334,0.80299,0.5607,0.31736,0.95202,0.000970048,0.000970048,0.000970048
108,4457.83,0.57131,0.33609,0.97197,0.93124,0.96101,0.96046,0.80957,0.53528,0.31094,0.93986,0.000963473,0.000963473,0.000963473
